endpoint,deployed_model_id,logging_time,request_id,request_payload,response_payload
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:50:41.408689 UTC,2365877585591884550,"[{""martial"":""single"",""loan"":""no"",""previous"":0,""default"":""yes"",""age"":46,""education"":""secondary"",""housing"":""no"",""day"":24,""duration"":654,""month"":""jun"",""campaign"":1,""contact"":""cellular"",""balance"":28118,""poutcome"":""unknown"",""job"":""management"",""pdays"":-1}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:50:45.440846 UTC,2668657096390865063,"[{""age"":33,""housing"":""no"",""loan"":""yes"",""martial"":""married"",""campaign"":1,""previous"":0,""day"":9,""pdays"":-1,""balance"":36922,""duration"":150,""education"":""secondary"",""poutcome"":""success"",""job"":""unemployed"",""month"":""jan"",""default"":""no"",""contact"":""telephone""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:50:49.565731 UTC,4241080436492111671,"[{""age"":33,""balance"":77103,""education"":""secondary"",""day"":30,""month"":""aug"",""duration"":67,""poutcome"":""unknown"",""previous"":0,""job"":""entrepreneur"",""loan"":""yes"",""contact"":""unknown"",""campaign"":1,""martial"":""single"",""pdays"":-1,""default"":""yes"",""housing"":""yes""}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:50:53.556914 UTC,328329651144657759,"[{""poutcome"":""unknown"",""balance"":59283,""loan"":""no"",""contact"":""telephone"",""day"":7,""previous"":0,""education"":""unknown"",""month"":""may"",""duration"":910,""default"":""no"",""housing"":""no"",""campaign"":1,""pdays"":-1,""job"":""unknown"",""age"":54,""martial"":""married""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:50:57.567733 UTC,4601632357028260686,"[{""pdays"":-1,""previous"":0,""month"":""jun"",""housing"":""yes"",""martial"":""married"",""job"":""unemployed"",""default"":""yes"",""age"":74,""loan"":""no"",""poutcome"":""success"",""education"":""secondary"",""balance"":72688,""duration"":281,""day"":25,""campaign"":1,""contact"":""telephone""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:01.770461 UTC,4067858465602920630,"[{""loan"":""yes"",""month"":""dec"",""job"":""services"",""poutcome"":""success"",""previous"":0,""martial"":""single"",""campaign"":1,""duration"":200,""default"":""yes"",""day"":22,""pdays"":-1,""balance"":73867,""age"":48,""housing"":""no"",""contact"":""telephone"",""education"":""tertiary""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:05.753747 UTC,333627774988983494,"[{""poutcome"":""failure"",""pdays"":-1,""duration"":5,""default"":""no"",""contact"":""cellular"",""campaign"":1,""education"":""unknown"",""martial"":""married"",""age"":61,""previous"":0,""balance"":64931,""job"":""unemployed"",""housing"":""yes"",""month"":""jul"",""day"":1,""loan"":""no""}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:09.761937 UTC,1826706572851349581,"[{""loan"":""no"",""balance"":69825,""pdays"":-1,""previous"":0,""contact"":""cellular"",""housing"":""no"",""age"":78,""duration"":379,""job"":""retired"",""default"":""yes"",""martial"":""single"",""month"":""jul"",""campaign"":1,""day"":21,""poutcome"":""failure"",""education"":""primary""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:13.690378 UTC,375220572383588919,"[{""poutcome"":""unknown"",""duration"":286,""day"":16,""month"":""feb"",""martial"":""single"",""previous"":0,""housing"":""no"",""loan"":""yes"",""contact"":""telephone"",""education"":""tertiary"",""job"":""services"",""campaign"":1,""pdays"":-1,""default"":""no"",""age"":52,""balance"":94623}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:17.661546 UTC,4466588168916409726,"[{""poutcome"":""success"",""job"":""technician"",""martial"":""single"",""contact"":""telephone"",""previous"":0,""campaign"":1,""education"":""unknown"",""default"":""no"",""age"":21,""month"":""feb"",""housing"":""yes"",""pdays"":-1,""day"":19,""loan"":""no"",""balance"":87188,""duration"":187}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:21.665627 UTC,5391156908271679112,"[{""job"":""technician"",""martial"":""single"",""balance"":68332,""previous"":0,""default"":""no"",""month"":""jul"",""pdays"":-1,""education"":""unknown"",""loan"":""no"",""duration"":807,""age"":67,""housing"":""yes"",""poutcome"":""other"",""contact"":""cellular"",""campaign"":1,""day"":28}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:25.780865 UTC,3408013079500052403,"[{""age"":83,""balance"":42835,""default"":""no"",""poutcome"":""success"",""education"":""tertiary"",""pdays"":-1,""housing"":""yes"",""previous"":0,""job"":""management"",""martial"":""divorced"",""contact"":""telephone"",""month"":""aug"",""campaign"":1,""day"":2,""loan"":""no"",""duration"":621}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:29.820815 UTC,195661253569995588,"[{""housing"":""yes"",""day"":26,""poutcome"":""success"",""education"":""secondary"",""month"":""dec"",""job"":""admin."",""age"":56,""balance"":93905,""loan"":""no"",""contact"":""telephone"",""duration"":221,""default"":""yes"",""previous"":0,""campaign"":1,""martial"":""divorced"",""pdays"":-1}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:33.843197 UTC,7448577657488624110,"[{""education"":""unknown"",""balance"":2796,""martial"":""divorced"",""loan"":""no"",""duration"":561,""job"":""unknown"",""default"":""yes"",""campaign"":1,""housing"":""yes"",""day"":16,""age"":84,""contact"":""cellular"",""month"":""mar"",""previous"":0,""poutcome"":""success"",""pdays"":-1}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:37.776335 UTC,4218714849718510494,"[{""job"":""management"",""poutcome"":""other"",""martial"":""married"",""pdays"":-1,""balance"":45560,""contact"":""telephone"",""default"":""yes"",""education"":""primary"",""duration"":31,""campaign"":1,""loan"":""yes"",""previous"":0,""housing"":""yes"",""age"":63,""day"":25,""month"":""may""}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:41.914810 UTC,9195465323307167276,"[{""martial"":""divorced"",""month"":""jul"",""housing"":""no"",""contact"":""telephone"",""poutcome"":""success"",""education"":""secondary"",""balance"":86848,""campaign"":1,""job"":""admin."",""age"":25,""duration"":635,""default"":""yes"",""loan"":""no"",""previous"":0,""pdays"":-1,""day"":31}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:45.977746 UTC,5902509680786365311,"[{""contact"":""telephone"",""education"":""secondary"",""loan"":""yes"",""day"":11,""default"":""yes"",""job"":""unemployed"",""housing"":""yes"",""previous"":0,""campaign"":1,""duration"":169,""pdays"":-1,""martial"":""married"",""poutcome"":""other"",""age"":73,""month"":""oct"",""balance"":5795}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:50.128522 UTC,4650643436818140550,"[{""month"":""aug"",""job"":""unknown"",""previous"":0,""contact"":""cellular"",""poutcome"":""other"",""duration"":756,""education"":""tertiary"",""campaign"":1,""loan"":""no"",""day"":14,""pdays"":-1,""balance"":99841,""default"":""no"",""age"":76,""martial"":""married"",""housing"":""yes""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:54.069787 UTC,4473309630358424697,"[{""housing"":""yes"",""job"":""services"",""martial"":""married"",""age"":97,""poutcome"":""unknown"",""previous"":0,""pdays"":-1,""month"":""feb"",""default"":""yes"",""duration"":396,""campaign"":1,""balance"":34546,""loan"":""no"",""education"":""unknown"",""contact"":""cellular"",""day"":4}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:51:58.182101 UTC,5472928680528436690,"[{""martial"":""married"",""job"":""entrepreneur"",""age"":94,""month"":""feb"",""campaign"":1,""loan"":""no"",""default"":""no"",""housing"":""yes"",""day"":1,""duration"":327,""previous"":0,""pdays"":-1,""balance"":90680,""education"":""secondary"",""contact"":""telephone"",""poutcome"":""success""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:02.203352 UTC,3971379474948877779,"[{""balance"":54714,""campaign"":1,""education"":""tertiary"",""age"":71,""day"":8,""martial"":""single"",""poutcome"":""other"",""contact"":""telephone"",""duration"":110,""housing"":""yes"",""job"":""unemployed"",""month"":""jul"",""default"":""yes"",""loan"":""yes"",""previous"":0,""pdays"":-1}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:06.204814 UTC,5527635782432132479,"[{""pdays"":-1,""poutcome"":""unknown"",""duration"":124,""default"":""yes"",""housing"":""no"",""balance"":46575,""day"":4,""age"":73,""loan"":""yes"",""month"":""jan"",""job"":""housemaid"",""previous"":0,""martial"":""divorced"",""campaign"":1,""education"":""tertiary"",""contact"":""telephone""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:10.203174 UTC,3492489414786223243,"[{""previous"":0,""age"":42,""education"":""primary"",""campaign"":1,""martial"":""married"",""poutcome"":""success"",""contact"":""cellular"",""day"":13,""default"":""no"",""balance"":12567,""job"":""unemployed"",""month"":""apr"",""duration"":417,""pdays"":-1,""housing"":""no"",""loan"":""yes""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:14.417518 UTC,1726196824855021229,"[{""day"":2,""previous"":0,""default"":""no"",""loan"":""yes"",""job"":""housemaid"",""housing"":""yes"",""month"":""may"",""poutcome"":""unknown"",""education"":""tertiary"",""age"":60,""duration"":795,""martial"":""divorced"",""contact"":""unknown"",""pdays"":-1,""campaign"":1,""balance"":30020}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:18.318676 UTC,3254207054433692410,"[{""martial"":""married"",""duration"":387,""education"":""tertiary"",""default"":""yes"",""contact"":""unknown"",""month"":""feb"",""previous"":0,""pdays"":-1,""housing"":""no"",""day"":5,""job"":""blue-collar"",""age"":65,""poutcome"":""failure"",""campaign"":1,""balance"":12218,""loan"":""yes""}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:22.245891 UTC,3665148802696369368,"[{""default"":""no"",""balance"":46662,""education"":""primary"",""martial"":""single"",""previous"":0,""housing"":""yes"",""contact"":""telephone"",""pdays"":-1,""loan"":""yes"",""job"":""student"",""day"":27,""campaign"":1,""poutcome"":""unknown"",""duration"":968,""month"":""jul"",""age"":81}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:26.206512 UTC,6880576740291691159,"[{""day"":13,""loan"":""yes"",""poutcome"":""other"",""campaign"":1,""previous"":0,""contact"":""unknown"",""education"":""secondary"",""martial"":""single"",""job"":""self-employed"",""default"":""yes"",""balance"":23632,""duration"":759,""month"":""oct"",""housing"":""yes"",""age"":34,""pdays"":-1}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:30.167717 UTC,2325919152158630261,"[{""job"":""self-employed"",""martial"":""divorced"",""default"":""yes"",""duration"":770,""day"":9,""pdays"":-1,""education"":""tertiary"",""loan"":""yes"",""campaign"":1,""balance"":37901,""previous"":0,""month"":""apr"",""contact"":""cellular"",""poutcome"":""unknown"",""age"":30,""housing"":""no""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:34.434017 UTC,160546679372530244,"[{""housing"":""no"",""job"":""entrepreneur"",""poutcome"":""unknown"",""campaign"":1,""day"":30,""duration"":831,""age"":84,""loan"":""no"",""month"":""jan"",""default"":""yes"",""education"":""primary"",""previous"":0,""contact"":""cellular"",""balance"":57478,""martial"":""divorced"",""pdays"":-1}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:38.409291 UTC,3849674520015549749,"[{""campaign"":1,""age"":19,""loan"":""yes"",""job"":""admin."",""day"":2,""contact"":""unknown"",""pdays"":-1,""balance"":36402,""martial"":""single"",""poutcome"":""success"",""previous"":0,""month"":""may"",""housing"":""yes"",""default"":""no"",""education"":""unknown"",""duration"":947}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:42.404291 UTC,8391665154597378468,"[{""campaign"":1,""duration"":809,""martial"":""single"",""contact"":""cellular"",""education"":""tertiary"",""pdays"":-1,""poutcome"":""other"",""housing"":""no"",""previous"":0,""job"":""unknown"",""day"":5,""month"":""oct"",""age"":30,""loan"":""yes"",""balance"":86921,""default"":""no""}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:46.424645 UTC,4875704190024744812,"[{""default"":""yes"",""job"":""technician"",""loan"":""no"",""age"":32,""previous"":0,""month"":""sep"",""contact"":""cellular"",""martial"":""single"",""balance"":43211,""day"":9,""education"":""secondary"",""poutcome"":""failure"",""pdays"":-1,""campaign"":1,""duration"":22,""housing"":""no""}]","[""no""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:50.435976 UTC,5989107947110501854,"[{""contact"":""cellular"",""job"":""admin."",""campaign"":1,""duration"":697,""martial"":""married"",""pdays"":-1,""poutcome"":""other"",""day"":29,""default"":""no"",""previous"":0,""age"":85,""month"":""feb"",""housing"":""yes"",""education"":""unknown"",""loan"":""no"",""balance"":49808}]","[""yes""]"
projects/947521528723/locations/us-central1/endpoints/7472652657295884288,4274964980467499008,2023-11-02 05:52:54.460029 UTC,4716882907038234438,"[{""campaign"":1,""contact"":""telephone"",""previous"":0,""duration"":623,""age"":91,""balance"":80563,""job"":""unknown"",""martial"":""married"",""education"":""tertiary"",""day"":24,""default"":""yes"",""pdays"":-1,""housing"":""no"",""month"":""jul"",""loan"":""yes"",""poutcome"":""unknown""}]","[""yes""]"
