Annual Turnover,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Comedy Gigs Rating,Value Deals Rating,Ambience,Lively,Service,Comfortablility,Privacy,Cuisine1,Cuisine2
42000000,15,0,733452,84.3,1,95.8,1,1,0,1,2.0,0,2,3,0,2,5,5,5,7,10.0,4.0,3.0,4.0,8.0,8,6,6,6,1,4
50000000,75,1,733314,85.4,2,85.0,1,1,1,0,2.0,0,16,3,0,6,6,6,7,8,9.0,4.0,4.0,4.0,5.0,7,7,3,8,1,4
32500000,38,0,734348,85.0,2,68.2,1,1,1,0,2.0,0,0,3,0,2,6,5,3,7,8.0,3.0,3.0,4.0,7.0,10,5,2,8,2,16
110000000,63,1,733376,85.6,2,83.6,0,1,1,1,1.0,0,2,3,1,7,6,5,6,8,9.0,6.0,3.0,4.0,7.0,7,4,3,5,3,11
20000000,109,1,733825,79.0,2,76.8,1,1,1,1,2.0,0,16,3,0,10,5,6,4,8,6.0,4.0,2.0,4.0,7.0,6,2,4,6,4,17
30000000,72,1,734316,89.92,1,87.0,1,1,1,1,2.0,0,16,3,0,10,5,5,6,8,9.0,6.0,3.0,4.0,6.0,5,0,2,5,2,18
30000000,15,1,734530,86.08,1,67.5,1,0,1,1,2.0,0,2,3,1,2,5,4,3,10,7.0,4.0,3.0,3.0,10.0,6,2,0,4,1,4
40000000,15,1,734280,92.0,2,91.0,1,1,1,1,1.0,0,23,0,0,8,5,5,5,6,9.0,4.0,3.0,4.0,6.0,9,5,4,9,1,4
60000000,133,1,734027,90.0,2,74.05,0,0,1,0,2.0,0,16,4,1,4,6,6,5,9,10.0,7.0,3.0,4.0,6.0,8,3,2,6,5,19
23000000,98,1,734662,79.0,2,74.05,1,1,1,1,2.0,0,16,3,1,9,6,5,5,5,8.0,3.0,3.0,4.0,4.0,8,3,5,7,6,17
60000000,15,1,733212,88.6,1,74.05,1,0,0,1,2.0,0,2,3,0,10,5,4,5,5,10.0,4.0,3.0,4.0,7.0,8,5,4,7,7,20
45000000,143,1,733443,81.0,2,74.05,1,1,1,0,1.0,0,0,3,0,7,4,6,7,7,9.0,6.0,3.0,4.0,2.0,9,6,3,6,8,13
27000000,143,1,733727,83.6,1,74.05,1,1,1,1,2.0,0,24,2,0,1,3,5,4,9,7.0,4.0,2.0,4.0,7.0,8,3,2,8,7,20
20000000,63,1,733698,60.8,2,74.05,0,1,0,1,2.0,0,16,2,0,3,4,4,6,8,8.0,3.0,3.0,4.0,7.0,7,3,3,4,9,20
30000000,15,1,734316,79.0,1,79.9,1,1,1,0,2.0,0,13,2,0,1,3,5,6,6,9.0,4.0,3.0,3.0,8.0,8,5,2,8,1,4
35000000,0,0,733419,69.54,2,64.43,1,1,1,0,2.0,0,0,2,0,8,4,5,3,5,7.0,3.0,3.0,4.0,10.0,10,6,3,9,2,16
32500000,133,1,734294,85.8,2,74.8,1,1,1,1,2.0,0,16,2,0,7,6,5,6,9,9.0,5.0,3.0,4.0,9.0,9,6,2,5,3,11
25000000,63,1,732577,79.0,2,66.66,1,0,1,1,2.0,2,2,3,1,4,4,5,5,8,9.0,5.0,3.0,5.0,8.0,9,2,0,8,10,9
12000000,63,1,734474,65.0,1,64.8,1,1,1,1,2.0,0,2,2,0,3,4,4,5,7,8.0,4.0,3.0,4.0,6.0,7,7,3,9,11,21
